 SOUID,    DATE,   FG, Q_FG
115611,19200101,-9999,    9
115611,19200102,-9999,    9
115611,19200103,-9999,    9
115611,19200104,-9999,    9
115611,19200105,-9999,    9
115611,19200106,-9999,    9
115611,19200107,-9999,    9
115611,19200108,-9999,    9
115611,19200109,-9999,    9
115611,19200110,-9999,    9
115611,19200111,-9999,    9
115611,19200112,-9999,    9
115611,19200113,-9999,    9
115611,19200114,-9999,    9
115611,19200115,-9999,    9
115611,19200116,-9999,    9
115611,19200117,-9999,    9
115611,19200118,-9999,    9
115611,19200119,-9999,    9
115611,19200120,-9999,    9
115611,19200121,-9999,    9
115611,19200122,-9999,    9
115611,19200123,-9999,    9
115611,19200124,-9999,    9
115611,19200125,-9999,    9
115611,19200126,-9999,    9
115611,19200127,-9999,    9
115611,19200128,-9999,    9
115611,19200129,-9999,    9
115611,19200130,-9999,    9
115611,19200131,-9999,    9
115611,19200201,-9999,    9
115611,19200202,-9999,    9
115611,19200203,-9999,    9
115611,19200204,-9999,    9
115611,19200205,-9999,    9
115611,19200206,-9999,    9
115611,19200207,-9999,    9
115611,19200208,-9999,    9
115611,19200209,-9999,    9
115611,19200210,-9999,    9
115611,19200211,-9999,    9
115611,19200212,-9999,    9
115611,19200213,-9999,    9
115611,19200214,-9999,    9
115611,19200215,-9999,    9
115611,19200216,-9999,    9
115611,19200217,-9999,    9
115611,19200218,-9999,    9
115611,19200219,-9999,    9
115611,19200220,-9999,    9
115611,19200221,-9999,    9
115611,19200222,-9999,    9
115611,19200223,-9999,    9
115611,19200224,-9999,    9
115611,19200225,-9999,    9
115611,19200226,-9999,    9
115611,19200227,-9999,    9
115611,19200228,-9999,    9
115611,19200229,-9999,    9
115611,19200301,-9999,    9
115611,19200302,-9999,    9
115611,19200303,-9999,    9
115611,19200304,-9999,    9
115611,19200305,-9999,    9
115611,19200306,-9999,    9
115611,19200307,-9999,    9
115611,19200308,-9999,    9
115611,19200309,-9999,    9
115611,19200310,-9999,    9
115611,19200311,-9999,    9
115611,19200312,-9999,    9
115611,19200313,-9999,    9
115611,19200314,-9999,    9
115611,19200315,-9999,    9
115611,19200316,-9999,    9
115611,19200317,-9999,    9
115611,19200318,-9999,    9
115611,19200319,-9999,    9
115611,19200320,-9999,    9
115611,19200321,-9999,    9
115611,19200322,-9999,    9
115611,19200323,-9999,    9
115611,19200324,-9999,    9
115611,19200325,-9999,    9
115611,19200326,-9999,    9
115611,19200327,-9999,    9
115611,19200328,-9999,    9
115611,19200329,-9999,    9
115611,19200330,-9999,    9
115611,19200331,-9999,    9
