10.5 19.8 116.1 68 38.7 49.1 60.3 32.8 0 54.9 50.9 0
17.7 26.1 17.6 142 112.4 125 52.6 57.9 6.9 104.2 41.5 42.5
27 0 33.5 52.5 54.5 48.1 35.6 14 35.9 65.4 52.8 88.7
4 187.8 158 18.4 51.2 41.9 18.6 91.7 129.4 128.8 9.2 45.2
43.4 23.9 123.2 33 23.5 96.3 32.9 39 110.2 99.3 31.2 117.4
34.6 0 11.2 28 47.8 62.2 31.1 40 45.7 72.5 91.8 13.3
60.7 32.1 47.3 68.7 50 74.2 19.4 20.2 130.1 86.3 196.1 62.6
48.9 50.2 6.6 51.5 63 103.2 47.2 94.9 209.6 55.6 117 77.9
5.1 71.7 47.3 78 83.2 90.3 32.5 51.2 32.1 16.4 46.2 87.9
27.6 21.3 42.2 26.6 54.7 23.2 6.6 120.2 133.8 216.6 33.7 17.3
19.1 53.3 14.2 61 131.2 53.1 73.7 79.2 14 141.5 36 2.4
19 36.5 23.7 51.4 38.3 34.2 41 32.8 141.8 49.1 142.7 15.8
0 38.8 55.5 32.7 64.8 107.5 1.6 108.4 41.1 2.7 199.7 63.9
24.6 26.2 148.1 200.7 32.4 73.8 92.1 75.2 151.2 75.2 43.2 47
35.8 0 44.3 36 57.1 64.1 8.2 8 11 100.5 35.4 126.5
29.7 13.1 68.6 101.9 221.4 47.5 25.9 27 150.3 53.8 57.1 195.6
71.2 69.3 61.7 69.9 157 70.6 35.2 65.2 72.5 32.2 19.8 45.7
12.2 8.8 15.8 40.1 27.3 52.6 22.5 109.2 21.7 2.5 11.7 189
20.3 30.4 126.2 83 71.7 31.3 15.2 117 82.8 51.5 22.3 0
28.4 42.2 49.2 29.2 97.1 114.9 14.2 181.7 49.3 21.6 3.2 34.9
7.2 49.6 10.3 90.5 64.1 41.5 95.6 70.8 90.5 66.2 15.1 133.7
110.5 13.6 30.9 58.1 227.1 78.7 100.7 70.3 37.5 103.6 29.6 55.4
35.1 21 43 90.5 41.3 51.1 32.9 77.7 29.9 32.7 3.6 51.3
127.2 13.1 36.5 35.1 29 84.9 19 69.4 72.2 115.8 4.3 12.8
26.4 64.1 11.9 35.9 90.9 30.9 19.9 13.8 21.8 34.3 81.7 16.9
42.8 25.8 36.5 58.8 41.1 107.7 56.1 18.4 78.3 10.9 0 35.6
84.9 175.6 116.5 20.6 24.3 19.1 51.8 86.9 64 54.2 65.7 1.9
0 34.1 13.8 13.6 21.2 73.6 0.4 37.4 21.4 47.2 118.4 27.8
1.4 26.1 76.4 22.9 116.2 40.2 25.1 62.7 91.4 5.1 93.2 8.5
13.9 7 18.9 31.4 124.7 41.5 16.9 26.3 18.8 68.9 59.9 16.2
88.1 23.9 15.1 43.3 22 12.3 43.6 31.7 56.4 79.8 9.7 23.3
62 31.9 11.9 25.7 71.7 11 83.7 2.6 52.7 162.9 34 47.5
90.9 0.3 6.4 56.9 83.7 69.8 9.1 31.2 69.5 41.7 104 4.1
9.1 22.1 17.7 70 36.2 34.9 25.6 45 66 30.3 71.2 23.9
9.4 1.7 27.5 53.4 127.4 31 39.5 86.1 44.2 107.9 35.1 15.8
27.5 49.1 103.3 51.1 102.2 15.3 16.2 40.7 97.7 34.7 39.4 102.8
94 19.8 16.8 22 100.9 171.1 91.6 38.2 125.1 83.2 0.4 65.7
2.2 41.9 77.2 80.5 36.8 12.2 31.6 48.5 113.1 78.8 27.4 2.7
25.7 38.7 6.8 39.4 34.2 25.5 6.1 1.2 125.4 165.7 31.4 43.7
8 2.3 2.2 41 94.2 108.3 12.3 190.6 68 31.2 44 78.7
168.7 10.8 45.1 84.9 57.1 81.3 21.3 41.5 74.1 152.6 111.9 189.8
86.5 0 0.7 55.1 16.9 107.2 63.2 98.5 56 8 51.5 49.1
27.5 8.7 5.3 52 70.7 75 31.7 88.8 24.9 31.5 6.8 84
62.9 0 4.4 32.1 64.7 60.1 89.6 63.9 114.1 89.9 59.6 9.3
2.8 1.2 17.4 79 80.5 46.9 26.3 23.4 40.1 49.1 13.6 73.6
37.8 17.9 28 20.7 82.1 5.4 55.4 40.6 46.1 39 58.7 25.1
9.6 14 33.6 95 112 66.1 44.6 86 46.4 66.3 62.2 69.3
26.4 93.6 16.8 16.4 43 21.8 11.7 50.5 112.2 115.7 50 55
1.5 75.8 87.6 94.7 78.2 77.5 26.6 57.4 39.5 21.5 5.9 60.8
0 34.1 18.3 9.1 44.5 21 22.8 70.1 109 128.9 34.7 12.8
11.2 2.3 89.8 61.3 38.3 11.3 5.9 23.7 51.8 44.9 71 18
0 26.3 1 85.6 89.9 60.2 23.6 63.2 25.6 87.9 39 27.6
35.3 0 25.5 39.1 8.3 13.5 74.9 8.2 13.3 34.4 50.9 108.2
2.2 125.6 127 13.3 32.3 62.3 21.2 45.3 161.2 146.9 9.5 31.3
25.9 27.7 89.7 14.2 31.1 46 32 3.4 77.1 137.4 8.8 109.9
26.8 10.2 6.8 22.5 39 21.7 10.2 41.4 69.4 45.6 63.3 5.9
56.4 51.8 49.9 55 45.5 15.8 15.6 18.2 209.5 87.9 135.5 37.5
93.2 28 2.7 43.6 35.2 43.1 31.9 86.5 103.5 48.2 96.4 77
8.3 31.5 75.9 43.6 38.3 23 17.7 24.5 24.7 7.3 44.8 78.7
18.3 16.8 42.8 22.1 91.3 25.5 2.3 22.8 63.2 217 26.2 17.5
21.7 37.6 12.2 64.6 41 26.7 105.7 60.2 31.7 138.2 35.6 0
40.8 30.4 26.2 42.1 29.2 22.4 0.1 53.1 21.7 72.6 114.5 9.4
0.8 3.9 27.3 22.3 49.8 86.1 0.4 93.2 20.6 2 99.3 37.4
25.5 30.8 107.9 170.4 24.5 65.2 46.5 47.5 84.4 102.7 37.4 31.8
28 0 31.1 29.1 63 61.5 3.2 23 2.2 110.2 29.5 101.2
37.3 10.6 57.4 81.3 117.6 48.1 16.3 22 327.5 39.8 68.8 193.9
63.9 40.1 65.5 61.3 135.2 74.3 14.6 96 97.2 34.2 12.2 58.7
25.9 7.6 40.4 33.9 19.9 84.6 2.8 65.2 21.4 1 11.7 130.5
8.8 20.6 63 115.7 57.7 25 12.3 64.5 97 54.1 22.1 0.2
24.5 28.3 62.6 30.2 64.6 84.2 3.1 157.3 33.5 9.3 3.3 27.6
12.1 73.3 4.9 69.9 45.2 3 104.6 119.2 40.9 51.8 17.1 64
0 9.4 47.2 49.6 146.9 86.9 65.4 18.5 27.2 66.4 36.5 75.5
17.6 17.9 47.8 76.1 33.8 43.7 21.5 28.6 37.3 73.4 0 56.4
NA 14.9 16 12.5 21.8 25.1 6.1 NA 76.3 156.3 NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
155.5 180.8 169 60.2 14.7 9.9 169.6 126.7 35.2 65.1 185.3 4.4
0 54.3 29 6.8 15.4 25 0 73.4 12.6 77.7 150.3 35.2
11.2 41.9 185 7 89.4 31.7 0.7 46 51 5.7 102.7 20.1
13.3 4.6 45.4 29.2 84.3 17 38.7 5.3 8.9 70.1 67 15.4
69.9 31.5 17.2 60.5 18.3 15.5 72.9 45.9 76.8 70.2 38.1 32.3
43.6 72.8 17.4 26.8 46.4 33.6 48.3 3.2 6.9 184.7 34.3 82.9
107.2 0 15.1 43.3 81.4 63.8 0.7 0.5 40.9 59.3 212.7 0
3.8 3.6 21.1 83.1 42.3 23.7 4.5 86.9 53.5 7.2 92.7 9.5
12.7 2.3 54.8 50 105.8 90 5.2 95.4 56 173.2 79.8 20
21 52.9 80.2 27 97.3 6.3 6.9 32.3 81.8 50 45.8 95.1
45.6 9 15.6 38.9 63.3 159.2 41.1 29.9 50.1 87.3 0.4 20.8
1.6 29.1 74.7 69.2 25 38.8 53.6 35.4 135.3 41.7 19.1 0.6
22.2 48.5 13.8 40.8 49.1 44.8 0.4 8.5 132.7 NA NA NA
NA 6.2 1.1 18.7 46.1 28.3 4.2 78.9 84.7 13.4 55.4 47.3
117.3 14 34.3 73.7 41 69.6 23.2 42.4 59.5 95 134 99.6
80.3 0 2.4 33.3 12 76.5 13.1 42 59.4 25.8 71.9 68
70 6.9 8.8 36 78.6 15.7 23.5 83.2 73.4 58.6 4.1 109.3
35.6 0.5 8.5 19.9 30 21.2 5.9 57.1 155.3 64.1 40.3 10.2
3.8 3.5 17 62.6 35.8 35.2 24.6 8.2 33.6 52.4 28.2 79.5
66 33.8 21.8 12.9 41 4.4 53.3 3.6 63.6 48.9 62.2 13.6
23.1 39.2 33.8 84.4 76 37.4 25 86 26.4 69.8 60.8 39.7
21.6 108.4 17.6 16.7 39.9 1.6 2.9 36 100.5 125.2 34.6 45.4
2.3 75.2 75.9 103.5 31.2 15.1 22.1 20.6 72 30 8.6 45.9
0 39.2 14.3 20.7 56.2 12.3 3 40.9 134.8 130.9 53.7 7
11.8 27.6 113.9 55.3 33.8 34.8 9.5 27.2 51.8 68.8 113.6 33.5
